City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,kodiak,57.79,-152.4072,-3.27,59,0,3.09,US,1702168448
135,iskateley,67.6803,53.1512,-27.21,92,12,2.68,RU,1702168606
136,margaret river,-33.95,115.0667,19.71,35,0,4.06,AU,1702168606
137,robore,-18.3333,-59.75,27.64,59,67,1.81,BO,1702168606
138,ust-nera,64.5667,143.2,-17.46,99,100,1.7,RU,1702168607
139,wetaskiwin,52.9668,-113.3687,-6.11,81,100,5.12,CA,1702168607
140,sernancelhe,40.921,-7.5123,13.5,98,100,2.29,PT,1702168607
141,qaqortoq,60.7167,-46.0333,-4.18,74,100,2.92,GL,1702168607
142,namsos,64.4662,11.4957,1.03,74,40,6.17,NO,1702168607
143,baihar,22.1,80.55,13.15,75,2,0.6,IN,1702168607
144,qamdo,31.1667,97.2333,-7.33,66,69,2.44,CN,1702168607
145,wailua homesteads,22.0669,-159.378,26.03,77,0,2.57,US,1702168607
146,newman,37.3138,-121.0208,14.13,44,68,0.89,US,1702168607
147,shetpe,44.1667,52.1167,-1.62,38,100,9.96,KZ,1702168607
148,hobyo,5.3505,48.5268,26.56,77,72,8.15,SO,1702168607
149,whitehorse,60.7161,-135.0538,-9.95,84,100,3.09,CA,1702168607
150,murehwa,-17.6432,31.784,22.02,46,29,3.08,ZW,1702168608
151,jamestown,42.097,-79.2353,14.77,79,100,5.66,US,1702168433
152,kayangel,8.0823,134.7173,28.59,76,100,6.68,PW,1702168608
153,dalnegorsk,44.5604,135.5701,-11.89,66,9,5.81,RU,1702168608
154,plettenberg bay,-34.0527,23.3716,13.54,88,60,1.31,ZA,1702168608
155,bethel,41.3712,-73.414,9.55,87,100,0.0,US,1702168484
156,itoman,26.1247,127.6694,25.22,73,75,3.09,JP,1702168608
157,catende,-8.6667,-35.7167,23.4,85,100,2.19,BR,1702168608
158,kolonia,50.9333,6.95,11.05,71,75,8.75,DE,1702168408
159,hamilton,39.1834,-84.5333,13.82,93,100,6.17,US,1702168562
160,kapa'a,22.0752,-159.319,26.77,77,0,2.57,US,1702168608
161,sisimiut,66.9395,-53.6735,-7.76,82,99,3.84,GL,1702168608
162,aasiaat,68.7098,-52.8699,-10.99,86,100,2.97,GL,1702168608
163,taoudenni,22.6783,-3.9836,20.61,29,50,5.89,ML,1702168608
164,nemuro,43.3236,145.575,3.77,55,89,5.29,JP,1702168609
165,sumberpucung,-8.1586,112.4829,26.49,78,36,2.2,ID,1702168609
166,gaigeturi,33.4644,126.3183,17.03,63,20,2.06,KR,1702168609
167,susuman,62.7833,148.1667,-16.68,97,100,0.89,RU,1702168609
168,concepcion del bermejo,-26.5993,-60.9462,23.36,90,94,3.77,AR,1702168609
169,naracoorte,-36.9579,140.7383,19.0,43,100,7.36,AU,1702168609
170,fukuecho,32.6881,128.8419,18.2,77,20,3.6,JP,1702168609
171,margate,51.3813,1.3862,9.37,65,9,6.71,GB,1702168609
172,namibe,-15.1961,12.1522,24.06,81,100,2.39,AO,1702168609
173,coahuayana de hidalgo,18.7,-103.6583,24.84,77,0,0.46,MX,1702168609
174,aras-asan,8.8908,126.3033,27.79,77,100,2.07,PH,1702168609
175,sawai madhopur,25.9833,76.3667,14.8,61,0,1.18,IN,1702168610
176,greymouth,-42.4667,171.2,15.82,55,4,6.76,NZ,1702168610
177,port lincoln,-34.7333,135.8667,13.55,89,100,12.26,AU,1702168581
178,dunda,-8.1167,34.25,19.42,91,100,0.76,TZ,1702168610
179,zdvinsk,54.7021,78.661,-28.67,93,100,2.3,RU,1702168610
180,road town,18.4167,-64.6167,27.05,74,40,6.69,VG,1702168610
181,el abiodh sidi cheikh,32.893,0.5484,9.46,59,26,3.86,DZ,1702168610
182,lae,-6.7221,146.9847,31.37,62,69,3.3,PG,1702168610
183,bataipora,-22.2953,-53.2711,25.87,74,0,2.55,BR,1702168610
184,gadzhiyevo,69.2551,33.3362,-14.05,93,76,7.24,RU,1702168610
185,camiri,-20.05,-63.5167,24.57,62,97,1.96,BO,1702168610
186,takahagi,36.7167,140.7167,16.21,62,0,0.45,JP,1702168610
187,levuka,50.1834,-105.4011,-6.1,65,3,3.47,CA,1702168611
188,hermanus,-34.4187,19.2345,15.45,86,3,4.25,ZA,1702168611
189,new plymouth,-39.0667,174.0833,17.67,94,100,6.45,NZ,1702168611
190,st. john's,47.5649,-52.7093,2.1,87,75,12.35,CA,1702168374
191,fisterra,42.9049,-9.2629,17.64,98,100,9.02,ES,1702168611
192,sao gabriel da cachoeira,-0.1303,-67.0892,23.77,98,100,0.33,BR,1702168611
193,tukrah,32.5341,20.5791,16.17,62,100,7.3,LY,1702168611
194,naha,26.2125,127.6811,25.16,73,75,3.6,JP,1702168611
195,port alfred,-33.5906,26.891,13.99,95,100,3.63,ZA,1702168611
196,portland,45.5234,-122.6762,6.16,92,100,7.72,US,1702168080
197,cidade velha,14.9167,-23.6167,25.26,36,20,4.12,CV,1702168611
198,pandan,14.0453,124.1694,28.04,76,6,3.97,PH,1702168611
199,kone,-21.0595,164.8658,29.69,41,97,4.43,NC,1702168611
200,lagoa,39.05,-27.9833,18.09,84,100,11.56,PT,1702168611
201,murghob,38.1702,73.9667,-17.55,80,1,2.15,TJ,1702168612
202,usinsk,65.9939,57.5281,-25.52,100,99,1.79,RU,1702168612
203,ingleside,27.8778,-97.2117,24.05,93,40,1.54,US,1702168571
204,kalabo,-14.97,22.6814,22.91,69,10,3.05,ZM,1702168612
205,dryden,49.7833,-92.7503,-7.84,86,100,4.12,CA,1702168612
206,linfen,36.0889,111.5189,2.74,79,100,6.1,CN,1702168612
207,silute,55.3489,21.4831,-3.6,96,100,4.05,LT,1702168612
208,bu'aale,1.0833,42.5833,23.06,89,14,2.15,SO,1702168612
209,fort st. john,56.2499,-120.8529,-5.06,74,100,5.14,CA,1702168505
210,queenstown,-31.8976,26.8753,11.19,92,100,1.9,ZA,1702168495
211,mocajuba,-2.5842,-49.5072,25.81,83,41,1.28,BR,1702168612
212,olonkinbyen,70.9221,-8.7187,-5.93,65,100,4.59,SJ,1702168612
213,constantia,44.1833,28.65,-0.62,85,83,4.59,RO,1702168613
214,badger,64.8,-147.5333,-23.13,74,0,0.0,US,1702168613
215,jetpur,21.7333,70.6167,17.97,43,0,2.71,IN,1702168613
216,ust'-ilimsk,58.0006,102.6619,-31.9,99,86,1.71,RU,1702168613
217,nizhneangarsk,55.7833,109.55,-27.78,88,43,3.58,RU,1702168613
218,ponta delgada,37.7333,-25.6667,19.4,100,75,9.77,PT,1702168613
219,lazaro cardenas,17.9583,-102.2,25.79,78,4,1.3,MX,1702168613
220,lucapa,-8.4192,20.7447,17.5,97,96,0.69,AO,1702168613
221,qa'en,33.7265,59.1844,7.15,36,0,2.56,IR,1702168613
222,colonia,50.9333,6.95,11.05,71,75,8.75,DE,1702168613
223,saldanha,-33.0117,17.9442,14.03,85,0,7.18,ZA,1702168614
224,uturoa,-16.7333,-151.4333,27.11,80,70,8.22,PF,1702168614
225,machico,32.7,-16.7667,20.35,69,75,4.12,PT,1702168614
226,cabo san lucas,22.8909,-109.9124,26.17,70,0,2.57,MX,1702168260
227,la passe,45.5549,-0.8967,12.21,88,100,4.73,FR,1702168614
228,centerville,39.6284,-84.1594,13.18,95,100,3.6,US,1702168607
229,sur,22.5667,59.5289,22.12,53,1,2.13,OM,1702168371
230,kristiansund,63.1115,7.732,0.36,69,20,2.06,NO,1702168614
231,holualoa,19.6228,-155.9522,25.91,74,20,5.14,US,1702168614
232,port saint john's,-31.6229,29.5448,19.32,86,100,4.67,ZA,1702168614
233,yashkul',46.1711,45.3435,1.31,72,100,8.7,RU,1702168614
234,colonia menno,-22.3667,-59.8167,31.64,42,64,3.58,PY,1702168614
235,conde,-7.2597,-34.9075,26.7,78,40,3.6,BR,1702168614
236,kavaratti,10.5669,72.642,28.36,75,82,4.06,IN,1702168615
237,mohr,54.3528,9.7167,4.97,94,100,6.17,DE,1702168615
238,isangel,-19.55,169.2667,26.6,64,100,7.99,VU,1702168615
239,kununurra,-15.7667,128.7333,29.99,74,75,3.09,AU,1702168615
240,college,64.8569,-147.8028,-23.08,71,20,0.0,US,1702168615
241,tual,-5.6667,132.75,27.48,82,100,6.01,ID,1702168615
242,chinchilla,-26.75,150.6333,30.93,29,1,7.83,AU,1702168615
243,leava,-14.3,-178.1667,28.31,72,100,2.46,WF,1702168615
